gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000000003,4991.0320674836,0.0820231919087448,0.251661036406912,0.325927259459112,0.744479390790991,0.874246193114319,TSPAN6
ENSG00000000419,4723.46216155021,0.749013908826279,0.260494328797617,2.87535591382568,0.00403572295036859,0.0540894449222576,DPM1
ENSG00000000457,1229.34489629858,0.279702143692323,0.227715767924902,1.22829501988885,0.219336239808938,0.45301485693599,SCYL3
ENSG00000000460,3575.50945382213,0.320203013760306,0.201939674682291,1.5856369693775,0.112821684865266,0.317239279985554,C1orf112
ENSG00000000938,12.5377236606363,-0.563436024801963,1.47191492660453,-0.382791161783867,0.701874615175478,NA,FGR
ENSG00000000971,1391.13470045325,0.622061724387474,0.321186186983909,1.9367636268201,0.0527742440400152,0.209543948600658,CFH
ENSG00000001036,20089.6627136016,-0.0281794124401612,0.192000090585837,-0.146767703880656,0.883315377150711,0.94547447396367,FUCA2
ENSG00000001084,1646.48590919843,0.454497735584716,0.228709005930948,1.98723147667363,0.0468967512134217,0.197240390945879,GCLC
ENSG00000001167,2361.03223754008,-0.135379390846556,0.192166029416155,-0.704491794194162,0.481126558500084,0.697269208164159,NFYA
ENSG00000001460,1513.32144737859,0.058698143693331,0.256638030485608,0.228719584475703,0.819086872028066,0.912724445775737,STPG1
ENSG00000001461,3328.16413034518,0.233888327309171,0.238738235396609,0.979685247822236,0.32724151026671,0.566001536261682,NIPAL3
ENSG00000001497,6634.57285507747,-0.0773041035060512,0.171380479934038,-0.451067143328134,0.651941157561872,0.817205558974967,LAS1L
ENSG00000001561,122.617806107182,0.963460654342366,0.411362088133668,2.34212311278744,0.0191743888274925,0.121281489585502,ENPP4
ENSG00000001617,1426.0769826704,-0.925635047917916,0.265242681561716,-3.48976658834805,0.000483442597599547,0.0164322618688885,SEMA3F
ENSG00000001626,3.21044531619464,-0.133175973203533,2.42804084611958,-0.0548491486114703,0.956258644376427,NA,CFTR
ENSG00000001629,2124.56196506418,0.554831199021582,0.226608710904131,2.44841072881928,0.0143487982315599,0.103780517781614,ANKIB1
ENSG00000001630,9230.84355277665,0.315715700585751,0.286836588459991,1.10068140986061,0.271035339913052,0.507316634912523,CYP51A1
ENSG00000001631,1870.23149362982,0.457366080065677,0.263463356109267,1.73597606445122,0.0825680668653598,0.266369320232634,KRIT1
ENSG00000002016,272.810652569447,0.0507503591822366,0.349476888565415,0.145218069757243,0.88453869955751,0.945671391973381,RAD52
ENSG00000002079,74.3336088176636,-0.441514358970402,0.706796858041978,-0.624669385477348,0.532188070077652,NA,MYH16
ENSG00000002330,7320.78519185745,-0.165784046883367,0.220779328102424,-0.750903847331469,0.452710524765626,0.675477693613197,BAD
ENSG00000002549,23162.1261765782,-0.1857436898457,0.349802554032292,-0.530995808076785,0.595421684034758,0.781669512854331,LAP3
ENSG00000002586,18158.9577917647,-0.478625296012867,0.163920918951092,-2.91985488536501,0.00350194412554201,0.0505193504719495,CD99
ENSG00000002587,83.8877965627928,0.847116166885301,0.548206261569715,1.5452508047969,0.122285609867704,NA,HS3ST1
ENSG00000002726,0.533354993071361,-2.63195901769478,4.89224967968105,-0.537985423889152,0.590587111684386,NA,AOC1
ENSG00000002745,354.844216713706,0.363625460886593,0.329804039420117,1.10255005222478,0.270222611086936,0.506391354064729,WNT16
ENSG00000002746,30.6476943829305,-0.883724568079414,1.56083239966458,-0.566187995757473,0.571265989425107,NA,HECW1
ENSG00000002822,6060.73607680981,-0.0649511578938569,0.222069122930504,-0.292481714867596,0.769918338394987,0.888552711928545,MAD1L1
ENSG00000002834,14530.6984243779,-0.567933330293136,0.225254347583381,-2.52129797442825,0.0116922794100385,0.0940595976882064,LASP1
ENSG00000002919,4717.45809551357,-0.193476951489064,0.182717001296503,-1.05888860979663,0.289650512208651,0.527475521135183,SNX11
ENSG00000002933,1.38827069740209,1.82687725400906,4.71907908572428,0.387125797390335,0.69866308018442,NA,TMEM176A
ENSG00000003056,17985.9345756863,0.116244599434789,0.175644488242319,0.661817519001324,0.508088177140382,0.716538761768904,M6PR
ENSG00000003096,131.791296231952,0.570789585431495,0.424724973653012,1.34390398690757,0.178979436620972,0.405015359391908,KLHL13
ENSG00000003137,12.6989317308514,-2.13507855567884,1.67807272696054,-1.27233970338465,0.203252447594884,NA,CYP26B1
ENSG00000003147,51.6289668131957,0.0937465072705159,0.852824873198155,0.109924687021568,0.912469103772036,NA,ICA1
ENSG00000003249,425.755815448398,-0.697464061407316,0.269649579016283,-2.58655720491668,0.00969400776554652,0.084706610063889,DBNDD1
ENSG00000003393,4326.39474501161,0.325925348660574,0.193140544001742,1.68750352415718,0.0915065728538397,0.281454283873965,ALS2
ENSG00000003400,102.360714456771,0.33370313961658,0.529546950079204,0.63016723931026,0.528585171009018,0.732212261913271,CASP10
ENSG00000003402,5206.69280790018,0.208620172810834,0.229562947766649,0.908771101087692,0.363470964031678,0.59955091158693,CFLAR
ENSG00000003436,13837.6030631747,0.500201460820753,0.341304714540579,1.46555684557145,0.142769055151339,0.359034351242433,TFPI
ENSG00000003509,1441.7114386305,0.485121635298003,0.215557818220063,2.25054066377098,0.0244146452192076,0.138652619319351,NDUFAF7
ENSG00000003756,5428.84518939563,0.741168251314487,0.228459557464934,3.24419892754212,0.00117781457957536,0.028064551346722,RBM5
ENSG00000003987,109.989326886254,-0.324215148142515,0.59210098252998,-0.547567319947993,0.583989034012617,0.773446009321969,MTMR7
ENSG00000003989,1129.18846957881,-0.829254072487087,0.356322677910845,-2.32725595055887,0.0199516467288385,0.123853253220367,SLC7A2
ENSG00000004059,8233.89322193051,-0.208998303934317,0.19117381091821,-1.09323710674854,0.274289708800149,0.510461865529558,ARF5
ENSG00000004139,254.393501000856,-0.261584812848669,0.452083844130946,-0.578620130413024,0.562845518663045,0.756540988828837,SARM1
ENSG00000004142,22556.1467641371,-0.429683466278171,0.174523005413024,-2.46204484767659,0.0138147391272529,0.101241975536665,POLDIP2
ENSG00000004399,1892.29600933908,-0.311427764247666,0.26298602594128,-1.184198906132,0.236334335051902,0.471743995336701,PLXND1
ENSG00000004455,18504.5920075821,0.175237406674075,0.202734144780302,0.864370463416388,0.387384413082955,0.620114091235915,AK2
ENSG00000004468,37.9347275545187,-0.292812798984719,1.12848163088792,-0.2594750246438,0.795268749743818,NA,CD38
ENSG00000004478,7225.08901131592,-0.262775012896981,0.212615722392415,-1.23591524624877,0.216490069194678,0.449566917085964,FKBP4
ENSG00000004487,15667.9407585045,-0.166939034079207,0.167861287128178,-0.994505862163043,0.319976652871703,0.558339486841078,KDM1A
ENSG00000004534,3282.6836961448,-0.033894012922932,0.215199324335344,-0.15750055455618,0.874850370876192,0.942016169735182,RBM6
ENSG00000004660,753.665497533932,-0.839251524089371,0.22628887729571,-3.7087617125461,0.000208275315994815,0.010237888866234,CAMKK1
ENSG00000004700,9524.15275420055,0.415117816587975,0.208680858117021,1.9892472186174,0.0466739223802524,0.196777731204165,RECQL
ENSG00000004766,1713.48544785828,0.536600085851746,0.194346264560549,2.76105170873797,0.00576155534954331,0.0649974133942986,CCDC132
ENSG00000004776,1171.71017527921,-0.350732854997241,0.251728900296762,-1.39329594092598,0.163530317593769,0.385577917901275,HSPB6
ENSG00000004777,42.7443803237031,-2.28450906422887,0.840847930443438,-2.71691108643639,0.00658943071669614,NA,ARHGAP33
ENSG00000004779,9831.35074327868,0.430884352153401,0.244493464984755,1.76235529313745,0.0780092871449281,0.258821094465907,NDUFAB1
ENSG00000004799,75.5436379695474,0.292812404264638,0.572984595383268,0.511030150939357,0.609329944458008,NA,PDK4
ENSG00000004809,26.6508071193584,-0.133709822905473,0.961170844446711,-0.139111401139557,0.889362119022076,NA,SLC22A16
ENSG00000004838,101.462107535546,-0.272144737800646,0.638877792731838,-0.425973074814444,0.670127465794573,NA,ZMYND10
ENSG00000004846,8.8177624093978,-2.15363018951474,1.41232947381527,-1.52487803267103,0.127289521980237,NA,ABCB5
